"Country","Year","Survey","Valid records","Median log welfare (unweighted)","S estimate, log space (unweighted, 1.1926 scaled)","outdetect threshold (PPP/day)","Records flagged (top)","Population share flagged (%)","Welfare share flagged (%)","mean_ppp_day original","mean_ppp_day outdetect-capped","mean_ppp_day change (%)","gini original","gini outdetect-capped","gini change (%)","mld original","mld outdetect-capped","mld change (%)","atkinson_2 original","atkinson_2 outdetect-capped","atkinson_2 change (%)"
"BFA",1998,"EP-II",8324,0.38336998740023,0.859681306997676,19.3446115609578,144,0.522710002740921,10.6534942679946,1.92779219861173,1.82353118685429,-5.40831173777583,0.499439698912732,0.470916120417888,-5.71111558751532,0.427856379733149,0.374884218960605,-12.3808276051842,0.509014618967136,0.48098616244414,-5.50641484126125
"LKA",2016,"HIES",21735,1.93171587314805,0.600577481797254,41.8230790915817,325,1.33161039618068,10.608865495439,9.07054447022284,8.66518307685929,-4.46898634028299,0.393457733540508,0.365334101317305,-7.14781533714794,0.255548784374787,0.215731693015893,-15.5810137998927,0.353097953384149,0.323228747366022,-8.45918412493066
"RUS",2003,"HBS",192264,2.15956081546577,0.572178420539396,48.2355391961014,1080,2.18502791874296,10.525464683405,13.5037995807277,13.1364219231315,-2.72055028216345,0.39971570093829,0.383246268378801,-4.12028662392527,0.268250074732458,0.246664445585921,-8.04683061805849,0.405073632772646,0.388932681307877,-3.9846956599688
"PRY",2003,"EPH",8495,2.14861727939048,0.960567112554168,152.981747524886,63,0.430500570651673,10.5241599983051,13.6358820397398,12.859407292785,-5.69434925215624,0.549301437599504,0.522183651561044,-4.9367768191117,0.548011004934949,0.491873703773894,-10.2438273420657,0.63594063699563,0.613978537199396,-3.45348268668424
"CHL",2017,"CASEN",52238,2.88536517132467,0.700370916947597,146.419812282208,810,1.12350432532503,10.3447708848416,25.789196224539,24.7663958861916,-3.96600316443432,0.452112134486514,0.429661889823586,-4.96563638762448,0.344618971680115,0.308430429380583,-10.501030202459,0.46571162295651,0.443808853164252,-4.70307561860086
"CHL",2011,"CASEN",41091,2.51498548902945,0.733259768102085,111.582563124505,569,1.11926373529399,10.3368690675369,18.3982265112866,17.7453290900301,-3.54869759243326,0.468429546738157,0.449048247916916,-4.13750561983132,0.37233605314051,0.340190072127213,-8.63359342780744,0.492395251099449,0.473850348779192,-3.76626343955359
"ARM",2018,"ILCS",5177,2.02062140095134,0.531740013331857,37.1826197450323,112,1.55183721344432,10.30193953482,8.79425152738064,8.46528678262681,-3.74067928043237,0.344334976912234,0.319116842557294,-7.32372138929326,0.200198274927761,0.167924419614698,-16.1209457597515,0.296517958569005,0.269707574405798,-9.04174043710344
"PRY",2007,"EPH",4308,2.24493451778776,0.929981801794323,153.681137960112,26,0.251813647679625,10.2448027015575,14.0137237503716,12.9650354802976,-7.4832948669061,0.53030302992731,0.492393278744337,-7.14869594242543,0.513627777009762,0.438318498009687,-14.6622286353965,0.615425452393774,0.584338133966126,-5.05135403593238
"NPL",2003,"LSS-II",3910,1.08204651732933,0.716189996572127,25.295246862744,70,0.905314137790334,10.2074317637902,3.78430785307135,3.62702865727473,-4.15608882530462,0.437681043103218,0.413459988466431,-5.53395104002147,0.31705631496787,0.278436203291261,-12.1808366064313,0.405810393453524,0.380195755687046,-6.31197184194647
"NOR",2005,"EU-SILC",5960,3.91971331417234,0.441712986068369,189.587805804871,57,0.750401454395634,10.1811152489934,56.0113439073373,51.7314340837378,-7.64114824789783,0.315251929022241,0.258689092170186,-17.9421065011357,0.2005364376906,0.125794018474517,-37.2712411154923,0.979941293017636,0.978282104121395,-0.169315132249581
